"","case","iteration","p_HP","HP","p_DD","DD","p_PS1","PS1","p_PS2","PS2","greg"
"30",1,30,0.248,0.121965395042155,0.77,0.10762489696033,0.028,0.0676398039313039,0.024,0.0549547123402752,0.034
"31",1,31,0.438,0.714986021566301,0.612,0.722362743917043,0.48,0.813189609903492,0.466,0.809118887773458,0.64
"32",1,32,0.278,0.440906872903629,0.654,0.443824747981331,0.288,0.182049027027818,0.354,0.363268342044986,0.264
"33",1,33,0.942,0.94907367943697,0.706,0.951218101865302,0.822,0.787202431552609,0.778,0.917809179211878,0.844
"34",1,34,0.576,0.776200786627575,0.56,0.782973265243687,0.78,0.818315331863168,0.79,0.829833687703018,0.826
"35",1,35,0.014,0.0394405941384139,0.022,0.0258857158329295,0.236,0.0686911340533732,0.236,0.328073181392341,0.212
"36",1,36,0.266,0.496062043875698,0.346,0.50084216756525,0.946,0.474652376782342,0.894,0.491494067309047,0.788
"37",1,37,0.63,0.418444886306482,0.078,0.420466324375569,0.976,0.957860085413875,0.956,0.958832338879878,0.936
"38",1,38,0.352,0.68285023380065,0.922,0.690317390629231,0.42,0.615706669548865,0.444,0.606754196050476,0.346
"39",1,39,0.852,0.9816306431415,0.756,0.982443577252742,0.95,0.998876837014801,0.992,0.839802500320493,0.98
"40",1,40,0.314,0.533225922868802,0.382,0.538985366822768,0.826,0.644004188992652,0.802,0.462554166147763,0.896
"41",1,41,0.858,0.568187968196716,0.966,0.574665546519491,0.246,0.731116950754755,0.232,0.53368732716824,0.204
"42",1,42,0.982,0.996219828980014,0.956,0.996390724267112,0.98,0.983382856589581,0.99,0.22376647993974,0.906
"43",1,43,0.624,0.637094324230361,0.0620000000000001,0.64441493105147,0.946,0.915511661465591,0.914,0.600734672081143,0.95
"44",1,44,0.946,0.564152012255359,0.656,0.570556725910773,0.276,0.766234029406589,0.316,0.467359245598068,0.334
"45",1,45,0.6,0.745559862581691,0.438,0.752704883170689,0.932,0.899802416691265,0.886,0.763946408217451,0.988
"46",1,46,0.208,0.204980066300048,0.31,0.195238955044619,0.324,0.610317160134944,0.284,0.430465412410528,0.27
"47",1,47,0.418,0.754904255935465,0.558,0.761950452851166,0.574,0.941253671327679,0.566,0.848517794237684,0.624
"48",1,48,0.982,0.894427178821494,0.886,0.898486017309207,0.648,0.421990225628758,0.62,0.623645022453474,0.618
"49",1,49,0.436,0.717214062185194,0.574,0.724578671223416,0.952,0.719443089030979,0.982,0.949429080829903,0.952
"50",1,50,0.276,0.124866376035013,0.838,0.110648742228474,0.04,0.00142948884093164,0.036,0.112155516095018,0.056
"51",1,51,0.508,0.311033921830416,0.338,0.307740375221325,0.18,0.500975942121235,0.16,0.366422508295054,0.206
"52",1,52,0.176,0.280693388706972,0.03,0.275632787456325,0.55,0.26462082230604,0.532,0.236901930196366,0.45
"53",1,53,0.428,0.245983836344479,0.76,0.238804269014704,0.0680000000000001,0.0879579370679588,0.0740000000000001,0.270500492558422,0.054
"54",1,54,0.468,0.758977350323704,0.396,0.765976398122818,0.638,0.792480868821585,0.612,0.282487574153424,0.582
"55",1,55,0.026,0.0675775203518847,0.022,0.0523273286031229,0.342,0.541354333266348,0.312,0.549633923179407,0.184
"56",1,56,0.39,0.0365173317570509,0.88,0.0233142891471414,0,0.018001982014362,0.004,0.023432505859258,0.056
"57",1,57,0.876,0.56510790264221,0.626,0.571530110134504,0.246,0.592041356379854,0.274,0.375305239516369,0.262
"58",1,58,0.662,0.274537638472691,0.378,0.269107679051737,0.426,0.757747464328206,0.474,0.671560429209844,0.332
"59",1,59,0.328,0.379605307374863,0.992,0.379894058401529,0.168,0.322895363199166,0.198,0.102218545679896,0.12
"60",1,60,0.0720000000000001,0.297662050879326,0.546,0.293601454564213,0.42,0.00200892073301895,0.372,0.268834497988544,0.45
"61",1,61,0.792,0.948924649770483,0.924,0.951074842642469,0.768,0.984925423799529,0.806,0.958511785365946,0.746
"62",1,62,0.312,0.404997780052117,0.182,0.406445149252025,0.858,0.666467664169392,0.826,0.984514197846724,0.724
"63",1,63,0.506,0.642376464342365,0.71,0.649730675853363,0.494,0.668887546883098,0.466,0.533429906223912,0.518
"64",1,64,0.458,0.75437779098304,0.286,0.761429901916383,0.606,0.614832656641257,0.592,0.714345437323476,0.908
"65",1,65,0.534,0.56906314397687,0.308,0.575556177737418,0.51,0.619999528980615,0.486,0.643072644721475,0.642
"66",1,66,0.988,0.733835356302389,0.772,0.741085882403581,0.436,0.853694208935067,0.424,0.539906271400667,0.58
"67",1,67,0.378,0.587778066249733,0.354,0.594572233874685,0.736,0.912629823202086,0.688,0.865190812826738,0.564
"68",1,68,0.17,0.374446260409275,0.354,0.374487956386983,0.844,0.358749983396458,0.79,0.831978483159241,0.97
"69",1,69,0.13,0.363797119959092,0.122,0.363316724391446,0.572,0.0524896491449315,0.586,0.586653887772947,0.76
"70",1,70,0.568,0.894359645041178,0.64,0.898420596849223,0.908,0.948695902565005,0.952,0.738269655565296,0.918
"71",1,71,0.262,0.114777915184786,0.066,0.100154728819779,0.262,0.546905147584472,0.272,0.50156245486455,0.162
"72",1,72,0.444,0.538965853406778,0.0980000000000001,0.544856699625333,0.618,0.223544221729231,0.642,0.292150885943572,0.652
"73",1,73,0.17,0.0551347939722263,0.12,0.0403282877085127,0.104,0.0243464024292869,0.0980000000000001,0.014413753543866,0.028
"74",1,74,0.422,0.369769210225763,0.572,0.3695836042204,0.292,0.585218002924089,0.28,0.537712923361997,0.364
"75",1,75,0.186,0.312087548571389,0.03,0.308853591513626,0.552,0.12630016636368,0.514,0.426087208560982,0.536
"76",1,76,0.046,0.098724390939125,0.908,0.0836060518870978,0.04,0.000434979169044336,0.038,0.000217284153702479,0.0580000000000001
"77",1,77,0.152,0.453835179768683,0.314,0.457233071254424,0.386,0.267635941874687,0.394,0.611859511011377,0.392
"78",1,78,0.8,0.985406381454947,0.846,0.986055828972729,0.938,0.734831051163963,0.822,0.71741508775937,0.88
"79",1,79,0.934,0.979722282001496,0.952,0.980617133661388,0.848,0.69235017047949,0.874,0.813364417675958,0.87
"80",1,80,0.732,0.628546373945505,0.39,0.635803305511908,0.492,0.850916308527866,0.426,0.394797177205633,0.516
"81",1,81,0.332,0.705409616688714,0.676,0.712829806783721,0.502,0.160382746522481,0.512,0.00138176833638981,0.662
"82",1,82,0.462,0.609964439782697,0.222,0.617043163662846,0.596,0.858050690540006,0.58,0.576252971796878,0.588
"83",1,83,0.012,0.318728250332711,0.122,0.315866886669197,0.774,0.276698173833604,0.726,0.780334826077729,0.664
"84",1,84,0.0620000000000001,0.32219037068777,0.108,0.319521174427568,0.702,0.495961025391472,0.712,0.391151502458309,0.908
"85",1,85,0.51,0.816953547566155,0.614,0.8230166486035,0.896,0.986088762759506,0.83,0.972963821204768,0.764
"86",1,86,0.918,0.583718239299419,0.97,0.590451842161835,0.354,0.440606952502445,0.336,0.512395814228303,0.372
"87",1,87,0.996,0.996356965661992,0.992,0.996521693786252,0.976,0.555135883379714,0.942,0.997327325407356,0.944
"88",1,88,0.436,0.522794283744128,0.406,0.528301320935761,0.342,0.58717831532925,0.336,0.662345195847109,0.472
"89",1,89,0.952,0.0987174916122186,0.884,0.0835989877488286,0.014,0.00619810429095613,0.00800000000000001,0.0618048551236536,0.028
"90",1,90,0.65,0.314324626201849,0.41,0.311216764606411,0.204,0.607764224179527,0.184,0.329675643533416,0.24
"91",1,91,0.0660000000000001,0.074612340993546,0.912,0.0592623732857348,0.026,3.46833374909039e-07,0.016,0.0571177571631609,0.028
"92",1,92,0.41,0.471739792766614,0.214,0.475758617496172,0.432,0.494203760895141,0.41,0.63905368948513,0.578
"93",1,93,0.43,0.218864957252353,0.82,0.209991091886212,0.084,0.151316723554194,0.11,0.160101899537672,0.022
"94",1,94,0.272,0.248816849027438,0.634,0.241813035221025,0.0800000000000001,0.396006948602641,0.0880000000000001,0.259752733235885,0.102
"95",1,95,0.926,0.145639025347847,0.176,0.132418989523125,0.122,0.348158878476431,0.108,0.200660759711935,0.144
"96",1,96,0.356,0.397384637566397,0.128,0.398494768493108,0.75,0.77515963428792,0.81,0.517805511660008,0.782
"97",1,97,0.522,0.537330129775873,0.484,0.543184070948087,0.378,0.726299310319021,0.37,0.348727819539708,0.438
"98",1,98,0.142,0.20351346248449,0.174,0.193681143442055,0.794,0.134152210767312,0.776,0.0557298821570016,0.856
"99",1,99,0.766,0.831450457399657,0.598,0.837203220276263,0.9,0.658202968418802,0.882,0.379957743851194,0.804
"100",1,100,0.006,0.0853510723055503,0.384,0.070009974356634,0.464,0.000720726982964548,0.434,0.000415334056586003,0.314
"101",1,101,0.936,0.26336950837528,0.174,0.257261648752083,0.42,0.0754148790881446,0.394,0.174372629162367,0.45
"102",1,102,0.0900000000000001,0.0682645955943176,0.146,0.0530004114761999,0.82,0.261117850934915,0.862,0.56134161294121,0.962
"103",1,103,0.39,0.46583182540698,0.48,0.469651413785039,0.314,0.550180382204774,0.302,0.170824801765536,0.214
"104",1,104,0.67,0.460799352903858,0.834,0.464444834260512,0.164,0.477726057493562,0.176,0.152483656961457,0.196
"105",1,105,0.648,0.818096993993939,0.364,0.824136714285745,0.728,0.960542527368899,0.784,0.68269049552969,0.752
"106",1,106,0.412,0.315546256215772,0.186,0.312507006530095,0.178,0.531791686002845,0.202,0.416509561447088,0.308
"107",1,107,0.306,0.475238788381475,0.202,0.479372978459313,0.654,0.812027560691546,0.656,0.838201125899955,0.576
"108",1,108,0.732,0.857897213061074,0.89,0.863006573325267,0.592,0.610469121895747,0.522,0.873727717856908,0.656
"109",1,109,0.996,0.989707939716328,0.82,0.990168853380482,0.926,0.677276416668283,0.994,0.991046535952655,0.944
"110",1,110,0.44,0.551208859831889,0.804,0.557362245995134,0.338,0.25040794648445,0.304,0.193107840960563,0.39
"111",1,111,0.76,0.367534301570723,0.756,0.367238972123637,0.158,0.139696721409197,0.172,0.340374630182638,0.0960000000000001
"112",1,112,0.842,0.893757469386919,0.744,0.897837237099156,0.688,0.494904275372797,0.662,0.689477593570285,0.742
"113",1,113,0.816,0.900504988637389,0.804,0.904371059297749,0.648,0.493835069504879,0.678,0.568450546950126,0.698
"114",1,114,0.048,0.211010779739203,0.156,0.201645674465614,0.616,0.119172785288894,0.636,0.0546445646886613,0.81
"115",1,115,0.546,0.263962960787607,0.004,0.257891355579643,0.766,0.968440369296064,0.796,0.807723813756987,0.904
"116",1,116,0.374,0.656175227256342,0.9,0.663596600583901,0.348,0.0738832261003878,0.414,0.224392134059221,0.304
"117",1,117,0.466,0.46695117736065,0.184,0.470808942273475,0.748,0.849929415691097,0.718,0.633064334555466,0.674
"118",1,118,0.018,0.0513106127360786,0.08,0.0367257654201391,0.664,0.132715346917014,0.712,0.0352478733207872,0.636
"119",1,119,0.346,0.634353053172483,0.292,0.641654492370149,0.782,0.533706250582195,0.746,0.353398272278458,0.79
"120",1,120,0.732,0.661873478925072,0.408,0.669313912675669,0.808,0.595016538719052,0.794,0.990496289763134,0.66
"121",1,121,0.644,0.910526313257728,0.744,0.914063446438708,0.84,0.91483846306491,0.816,0.852016282022603,0.834
"122",1,122,0.938,0.486598123882899,0.624,0.491093313687037,0.312,0.672573809511719,0.334,0.545757311342148,0.354
"123",1,123,0.538,0.729148565867072,0.416,0.736435485018367,0.632,0.814261644586005,0.616,0.88975281175105,0.552
"124",1,124,0.402,0.450606292593746,0.302,0.453886776746985,0.996,0.803599102703757,0.906,0.835886795618123,0.87
"125",1,125,0.432,0.643769177277135,0.478,0.65113151975315,0.638,0.788733383214921,0.552,0.879359721129644,0.758
"126",1,126,0.028,0.215422794703573,0.164,0.206333493463435,0.148,0.0444865783692336,0.13,0.328822116083713,0.286
"127",1,127,0.0660000000000001,0.00939847937748267,0.138,0.0030347792753399,0.056,0.00605707316253157,0.048,0.0916949906786462,0.046
"128",1,128,0.606,0.894489857562555,0.664,0.898546734094154,0.912,0.909551714924375,0.958,0.746329521303049,0.92
"129",1,129,0.814,0.531640394022126,0.638,0.537362604874781,0.264,0.782849949535801,0.27,0.54772302739586,0.248
"130",1,130,0.76,0.967432651178905,0.84,0.968843534205935,0.878,0.645101521717623,0.904,0.834699913537165,0.898
"131",1,131,0.672,0.373123089156052,0.752,0.373100799411547,0.152,0.466399057433053,0.176,0.402060327190983,0.1
"132",1,132,0.144,0.664187954967312,0.454,0.671634686898939,0.616,0.262416482011269,0.632,0.536279340655563,0.536
"133",1,133,0.718,0.880451318386532,0.406,0.884934043107516,0.922,0.612464489542324,0.962,0.974532666935553,0.86
"134",1,134,0.356,0.351064304257006,0.034,0.349938683948269,0.606,0.706313765553315,0.6,0.346421220045057,0.65
"135",1,135,0.122,0.186637382580004,0.032,0.175765994517252,0.362,0.575287313007303,0.292,0.488320274856608,0.342
"136",1,136,0.374,0.50544991698666,0.408,0.510498441524339,0.432,0.455157712782492,0.436,0.367711592259075,0.318
"137",1,137,0.762,0.870681338615914,0.98,0.875444253302008,0.598,0.831291340201189,0.562,0.589555345137397,0.64
"138",1,138,0.608,0.857099470068522,0.618,0.862229687089653,0.92,0.513770971987618,0.834,0.980986855005496,0.906
"139",1,139,0.434,0.247202697635012,0.314,0.240098790923577,0.172,0.319605037022408,0.162,0.3825760299392,0.13
"140",1,140,0.366,0.644018501921381,0.346,0.651382267915647,0.626,0.644691908976609,0.602,0.761859839241051,0.716
"141",1,141,0.97,0.616446195873339,0.744,0.623593287181873,0.438,0.58684142701073,0.386,0.686104851143895,0.36
"142",1,142,0.374,0.459442117427964,0.238,0.463039951765453,0.566,0.506449831233943,0.626,0.231912395462742,0.568
"143",1,143,0.366,0.458307295030941,0.548,0.461865065247477,0.288,0.406675998079949,0.248,0.334446885589172,0.184
"144",1,144,0.798,0.751166032849398,0.972,0.758253328209508,0.5,0.609583839981598,0.456,0.67804703447178,0.484
"145",1,145,0.042,0.200152902927433,0.278,0.190112021079446,0.172,0.124947414628224,0.178,0.244935104689591,0.054
"146",1,146,0.324,0.3845143366151,0.428,0.385034558415396,0.62,0.557516930640008,0.578,0.451670113143024,0.482
"147",1,147,0.792,0.657615319965012,0.8,0.665041988134575,0.444,0.568052038737558,0.37,0.667871760124574,0.412
"148",1,148,0.376,0.776483492644859,0.586,0.783251886782443,0.624,0.233319671017807,0.596,0.163432300500051,0.742
"149",1,149,0.882,0.845428367897211,0.978,0.850853442692264,0.548,0.312972401763981,0.548,0.832788628671312,0.53
"150",1,150,0.838,0.773999584288864,0.924,0.780803462615643,0.518,0.937290815711031,0.538,0.623129327561071,0.484
"151",1,151,0.36,0.558107105340071,0.506,0.56439779186294,0.922,0.479446277671191,0.856,0.164902446671014,0.696
"152",1,152,0.218,0.254299743105993,0.62,0.247634941265281,0.082,0.082888609064898,0.1,0.217203824804292,0.114
"153",1,153,0.432,0.834055225903124,0.882,0.839749036157161,0.606,0.777846492943768,0.56,0.525893148746599,0.826
"154",1,154,0.922,0.978901225249733,0.966,0.97983117377479,0.79,0.811488112428699,0.806,0.247157036138417,0.764
"155",1,155,0.566,0.239158604730997,0.512,0.231554243703739,0.124,0.0386841068889627,0.092,0.243417191912351,0.112
"156",1,156,0.388,0.780868587696265,0.524,0.787572120713051,0.75,0.418450704020823,0.824,0.145383006341469,0.868
"157",1,157,0.366,0.751103001666358,0.904,0.758190972133843,0.302,0.66402278164634,0.316,0.248027932636104,0.422
"158",1,158,0.0720000000000001,0.092366454293921,0.984,0.0771168871598675,0.034,0.000643980948409006,0.064,0.0403438590705572,0.076
"159",1,159,0.288,0.611289284798362,0.518,0.61838252427351,0.842,0.63725997400538,0.866,0.873911702896424,0.834
"160",1,160,0.516,0.593273538777553,0.66,0.600145495515463,0.358,0.55540862236149,0.398,0.652597884410128,0.49
"161",1,161,0.756,0.604993175889362,0.154,0.612014948256667,0.69,0.262398805538028,0.702,0.320761417387922,0.668
"162",1,162,0.0900000000000001,0.252568349022566,0.204,0.245796666115909,0.318,0.509566232523116,0.26,0.222461326112619,0.326
"163",1,163,0.0860000000000001,0.248759730536132,0.128,0.24175237694723,0.204,0.114433146648648,0.198,0.484260931586703,0.364
"164",1,164,0.458,0.732322860269758,0.416,0.739585492651001,0.782,0.536241745126468,0.794,0.528304206928869,0.838
"165",1,165,0.1,0.308506293677495,0.188,0.305069275146984,0.324,0.0680493275622268,0.35,0.000313860856764547,0.644
"166",1,166,0.252,0.261133826500934,0.04,0.2548891712207,0.234,0.368616856744383,0.2,0.11071150709921,0.26
"167",1,167,0.378,0.565784627261991,0.512,0.572219130863999,0.842,0.643646435344642,0.794,0.947586987827182,0.862
"168",1,168,0.108,0.460023776066301,0.556,0.463642065993814,0.372,0.343267828815445,0.326,0.0636831267151476,0.77
"169",1,169,0.914,0.770439988649578,0.9,0.777293131572002,0.508,0.4663158870021,0.478,0.519597681149967,0.408
"170",1,170,0.75,0.856439053705422,0.576,0.861586469231652,0.994,0.819582172436513,0.996,0.973175022949777,0.972
"171",1,171,0.888,0.149536737284645,0.552,0.136522614443893,0.064,0.0711730169237328,0.092,0.175331342303025,0.066
"172",1,172,0.956,0.720151456006711,0.884,0.727498944000326,0.442,0.881759521353202,0.44,0.69955154943256,0.482
"173",1,173,0.75,0.644529275791288,0.456,0.651895927620983,0.65,0.960805555687796,0.764,0.773535711930371,0.678
"174",1,174,0.382,0.710653395978762,0.358,0.718051513895975,0.702,0.79071915247294,0.612,0.930024641855474,0.58
"175",1,175,0.292,0.457519418111843,0.572,0.461049252353911,0.29,0.626313089850443,0.274,0.559185605516733,0.358
"176",1,176,0.192,0.447868492189446,0.382,0.451048131197798,0.352,0.401176773143989,0.318,0.415539236514076,0.584
"177",1,177,0.2,0.148908050475138,0.0840000000000001,0.135860384566097,0.106,0.0214592780205465,0.086,0.175269021894592,0.11
"178",1,178,0.37,0.702975465931685,0.782,0.710404476397422,0.398,0.535720181546996,0.336,0.716523384822626,0.4
"179",1,179,0.218,0.262882065002659,0.322,0.256744408910897,0.238,0.402079332874933,0.26,0.525330426628528,0.242
"180",1,180,0.264,0.243704712600791,0.418,0.236383496489999,0.182,0.347388418167677,0.164,0.191925372891868,0.168
"181",1,181,0.786,0.803624246093103,0.422,0.809945966967332,0.7,0.688411347396389,0.742,0.833106676854801,0.758
"182",1,182,0.176,0.187138085331008,0.154,0.176297166148776,0.984,0.0343001812610999,0.98,0.0922990828733748,0.658
"183",1,183,0.772,0.690047587740359,0.998,0.697508246963574,0.37,0.659201941111797,0.364,0.57730300390498,0.4
"184",1,184,0.35,0.404032017384556,0.134,0.405437092924829,0.568,0.840877626175168,0.554,0.847423943958009,0.638
"185",1,185,0.616,0.787738978220109,0.46,0.794335210743982,0.682,0.838108409651416,0.682,0.82012227793713,0.664
"186",1,186,0.69,0.769560061568299,0.79,0.776425094196205,0.546,0.654460987684828,0.588,0.650209836137428,0.482
"187",1,187,0.626,0.397517085902641,0.622,0.398633158749677,0.2,0.0440651135004018,0.206,0.158957769733635,0.172
"188",1,188,0.156,0.146737551090824,0.102,0.133575047173115,0.32,0.267715107456024,0.286,0.589518239251342,0.664
"189",1,189,0.562,0.637455839326842,0.556,0.644778885775651,0.776,0.935936431795612,0.722,0.549777931801117,0.68
"190",1,190,0.014,0.227677943681269,0.184,0.219355971611034,0.162,0.153735344381138,0.16,0.271518243305848,0.198
"191",1,191,0.644,0.879895033833055,0.76,0.884394069421293,0.706,0.853790747586384,0.722,0.937674082088529,0.758
"192",1,192,0.502,0.757469839819494,0.544,0.76448662585873,0.954,0.820710295824648,0.894,0.235527185761037,0.92
"193",1,193,0.366,0.660618621016966,0.75,0.668055291581758,0.486,0.501922776412614,0.478,0.318729638631197,0.586
"194",1,194,0.124,0.0563589927824153,0.0700000000000001,0.0414909475790328,0.088,0.0228441482667554,0.072,0.286564437652469,0.028
"195",1,195,0.32,0.72132022860194,0.578,0.72866054049189,0.752,0.880844635654549,0.758,0.921937338635856,0.76
"196",1,196,0.96,0.499502959502699,0.878,0.504383107490658,0.26,0.47745635483061,0.272,0.438619440445368,0.214
"197",1,197,0.148,0.237538790943437,0.078,0.229833373793346,0.534,0.713620167862767,0.538,0.590408946361619,0.472
"198",1,198,0.792,0.531781715199143,0.676,0.537507261160791,0.26,0.716284196579202,0.262,0.546781489442944,0.322
"199",1,199,0.352,0.0100910544460109,0.388,0.00341224541124929,0.032,3.32398463265271e-06,0.038,5.98320356046678e-05,0.022
"200",1,200,0.022,0.204730266153857,0.11,0.194973612525518,0.292,0.113057299799081,0.274,0.150222109198154,0.228
"201",1,201,0.362,0.245636205516493,0.95,0.23843504698625,0.104,0.15807416700793,0.08,0.207042874872479,0.12
"202",1,202,0.106,0.365138083227733,0.206,0.364724320298759,0.974,0.370228832144314,0.996,0.280463535203055,0.724
"203",1,203,0.33,0.132728478281925,0.394,0.118866027835029,0.08,0.110857138694447,0.068,0.109240281122464,0.062
"204",1,204,0.268,0.575100094492195,0.586,0.581696393889082,0.424,0.639747214864029,0.378,0.595048007299484,0.68
"205",1,205,0.356,0.627425858447367,0.416,0.634673589828525,0.82,0.136398106885199,0.862,0.979653229003982,0.836
"206",1,206,0.612,0.806645683768076,0.682,0.812911035602088,0.622,0.867079469507961,0.684,0.854978744331068,0.704
"207",1,207,0.46,0.457038406734695,0.222,0.460551137078913,0.93,0.99604091239297,0.91,0.622939244096019,0.936
"208",1,208,0.38,0.513318500039019,0.286,0.518581048274267,0.68,0.60429954011243,0.618,0.905999763265973,0.884
"209",1,209,0.808,0.543183042036162,0.618,0.549167047495433,0.312,0.688553222967865,0.31,0.340788632419926,0.284
"210",1,210,0.658,0.707917249073352,0.862,0.715327406932836,0.352,0.861692759120529,0.354,0.692613582381347,0.35
"211",1,211,0.762,0.726963571056606,0.598,0.734266324553497,0.788,0.449833879626441,0.72,0.929089466932008,0.768
"212",1,212,0.032,0.405913288782009,0.448,0.40740061983469,0.266,0.10663860261995,0.306,0.0137275474648018,0.394
"213",1,213,0.654,0.404812240547987,0.324,0.406251495421923,0.3,0.543265835065063,0.3,0.624637598248758,0.26
"214",1,214,0.168,0.441517139646553,0.4,0.444458267146294,0.272,0.144332373990458,0.304,0.156558794939732,0.434
"215",1,215,0.292,0.539509164741798,0.478,0.545412173709211,0.376,0.713935759180537,0.404,0.566308515151954,0.508
"216",1,216,0.37,0.00516360191171831,0.002,0.00106926755295533,0.0860000000000001,0.358743430673063,0.056,0.211643744879521,0.0760000000000001
"217",1,217,0.328,0.507587189486335,0.446,0.512694834663885,0.33,0.614463142125792,0.314,0.563661474177643,0.346
"218",1,218,0.98,0.277589635020765,0.496,0.272343208376967,0.23,0.428728535129064,0.202,0.290610894183339,0.272
"219",1,219,0.14,0.0648247198260444,0.042,0.0496406401932621,0.272,0.0174035853157235,0.268,0.330230425930927,0.284
"220",1,220,0.752,0.811206835770019,0.714,0.817384587532397,0.602,0.59221053503571,0.606,0.727943297364279,0.466
"221",1,221,0.094,0.178436504013662,0.082,0.167070329147517,0.346,0.479804915472417,0.35,0.682629530549531,0.348
"222",1,222,0.914,0.721415852698268,0.856,0.7287555683119,0.402,0.808679892408606,0.396,0.447861638460807,0.352
"223",1,223,0.496,0.887654775099827,0.904,0.891922401491738,0.628,0.375534028938856,0.602,0.0579631924539656,0.872
"224",1,224,0.104,0.127767982761328,0.044,0.113677818488118,0.932,0.23614319625354,0.952,0.421707182097364,0.948
"225",1,225,0.36,0.496884232282186,0.348,0.501688429573369,0.534,0.853629694622238,0.51,0.605168417844592,0.508
"226",1,226,0.368,0.502404239805892,0.424,0.507367243715607,0.676,0.867508528686214,0.688,0.624174303360722,0.726
"227",1,227,0.098,0.136554337726563,0.142,0.122875255643051,0.618,0.234077603809996,0.566,0.489644001398525,0.838
"228",1,228,0.586,0.732974930062188,0.974,0.740232385406524,0.456,0.681905574103905,0.42,0.659532153117653,0.37
"229",1,229,0.182,0.0445228867518413,0.254,0.0304559881070454,0.056,0.195905211323451,0.0720000000000001,0.049142754588747,0.056
"230",1,230,0.33,0.0613469626458462,0.522,0.0462709106025632,0.00800000000000001,0.000598291369045434,0.028,0.0301156965255568,0.014
"231",1,231,0.15,0.228774846897653,0.336,0.220521542538995,0.112,0.0228231569613533,0.12,0.230319833980809,0.3
"232",1,232,0.34,0.249705850788686,0.05,0.242757110213492,0.37,0.304508801839062,0.352,0.432807160953075,0.366
